insert into cliente (id_cliente, nome, nif, data_nasc, cidade) values (1, 'Aubert Chanter', 716936625, '1989-12-19', 'Biyang');
insert into cliente (id_cliente, nome, nif, data_nasc, cidade) values (29, 'Ewen Moorhead', 711482220, '1965-07-07', 'Kafir Yasif');
insert into cliente (id_cliente, nome, nif, data_nasc, cidade) values (30, 'Prentiss McCann', 590222572, '2001-04-15', 'Kirkland Lake');
insert into cliente (id_cliente, nome, nif, data_nasc, cidade) values (31, 'Horton Goodlad', 646926557, '1948-03-30', 'Gýtheio');
insert into cliente (id_cliente, nome, nif, data_nasc, cidade) values (32, 'Packston Brownhill', 503654266, '1950-10-30', 'Lesnikovo');
insert into cliente (id_cliente, nome, nif, data_nasc, cidade) values (33, 'Juliette Lynett', 343114252, '1988-06-25', 'Dongzha');
insert into cliente (id_cliente, nome, nif, data_nasc, cidade) values (34, 'Der Felce', 563238924, '1970-08-09', 'Pueblo Nuevo');
insert into cliente (id_cliente, nome, nif, data_nasc, cidade) values (35, 'Freida Wetherill', 918371840, '1946-11-23', 'Kuanheum');
insert into cliente (id_cliente, nome, nif, data_nasc, cidade) values (36, 'Lou Sumpter', 747725191, '1955-12-15', 'Kolobovo');
insert into cliente (id_cliente, nome, nif, data_nasc, cidade) values (37, 'Klaus Mc Elory', 656144333, '1948-05-03', 'Johor Bahru');
insert into cliente (id_cliente, nome, nif, data_nasc, cidade) values (38, 'Gerrie Isaksson', 947274906, '1945-12-11', 'Boliden');
insert into cliente (id_cliente, nome, nif, data_nasc, cidade) values (39, 'Claudie Gladyer', 978463810, '1935-06-14', 'Chandal Bā’ī');
insert into cliente (id_cliente, nome, nif, data_nasc, cidade) values (40, 'Arnoldo Swaisland', 959670473, '1989-08-30', 'San Mateo');
insert into cliente (id_cliente, nome, nif, data_nasc, cidade) values (41, 'Gwennie Paulus', 175904838, '1970-10-30', 'Stavropol’');
insert into cliente (id_cliente, nome, nif, data_nasc, cidade) values (42, 'Keene Buckham', 644672673, '1976-09-26', 'Podgórzyn');
insert into cliente (id_cliente, nome, nif, data_nasc, cidade) values (43, 'Travis Sharply', 799884392, '1980-05-01', 'Pagangan');
insert into cliente (id_cliente, nome, nif, data_nasc, cidade) values (44, 'Crystal Puig', 121908423, '1964-10-04', 'Sáchica');
insert into cliente (id_cliente, nome, nif, data_nasc, cidade) values (45, 'Frants Rosingdall', 501414913, '1937-12-24', 'Keumala');
insert into cliente (id_cliente, nome, nif, data_nasc, cidade) values (46, 'Ernst Hamman', 530673322, '1992-10-08', 'Kopang Satu');
insert into cliente (id_cliente, nome, nif, data_nasc, cidade) values (47, 'Traver Peddar', 684710918, '1975-03-08', 'Paniówki');
insert into cliente (id_cliente, nome, nif, data_nasc, cidade) values (48, 'Noe Aprahamian', 344871769, '1996-10-20', 'Jiangnan');
insert into cliente (id_cliente, nome, nif, data_nasc, cidade) values (49, 'Nathanael McKinless', 995862913, '1973-02-22', 'Benito Juarez');
insert into cliente (id_cliente, nome, nif, data_nasc, cidade) values (50, 'Rhianna Healks', 256045471, '2003-04-05', 'Tikhvin');
insert into cliente (id_cliente, nome, nif, data_nasc, cidade) values (51, 'Adelice Baddeley', 325503512, '1990-01-25', 'Jepat Kidul');
insert into cliente (id_cliente, nome, nif, data_nasc, cidade) values (52, 'Delphinia Holsall', 649538086, '1997-05-26', 'Ras al-Khaimah');
insert into cliente (id_cliente, nome, nif, data_nasc, cidade) values (53, 'Jackson Tithacott', 178820602, '1940-05-26', 'Chenchang');
insert into cliente (id_cliente, nome, nif, data_nasc, cidade) values (54, 'Madeleine Mortel', 515462478, '1946-04-02', 'Chirilagua');
insert into cliente (id_cliente, nome, nif, data_nasc, cidade) values (55, 'Myrlene McNaught', 664359274, '1971-10-11', 'Budapest');
insert into cliente (id_cliente, nome, nif, data_nasc, cidade) values (56, 'Zacherie Foddy', 184767266, '1952-08-05', 'Concepción');
insert into cliente (id_cliente, nome, nif, data_nasc, cidade) values (57, 'Pearce Wasson', 908021298, '2000-08-16', 'Taraš');
insert into cliente (id_cliente, nome, nif, data_nasc, cidade) values (58, 'Sherri Leahy', 942324411, '1936-02-14', 'Vangaži');
insert into cliente (id_cliente, nome, nif, data_nasc, cidade) values (59, 'Willy Yarrall', 976519642, '2001-03-16', 'Jocón');
insert into cliente (id_cliente, nome, nif, data_nasc, cidade) values (60, 'Brandy Mancktelow', 691339018, '1942-08-19', 'Worcester');
insert into cliente (id_cliente, nome, nif, data_nasc, cidade) values (61, 'Ogden Gasnell', 269049832, '1975-05-25', 'Pasir');
insert into cliente (id_cliente, nome, nif, data_nasc, cidade) values (62, 'Karlotta Pickett', 614601532, '1960-10-25', 'Sangzhen');
insert into cliente (id_cliente, nome, nif, data_nasc, cidade) values (63, 'Vikki Le Estut', 333687520, '1988-08-07', 'Al Maḩwīt');
insert into cliente (id_cliente, nome, nif, data_nasc, cidade) values (64, 'Gale Vitall', 143990355, '1939-04-16', 'Gandara');
insert into cliente (id_cliente, nome, nif, data_nasc, cidade) values (65, 'Dudley Ivison', 891763001, '1972-10-21', 'Salcedo');
insert into cliente (id_cliente, nome, nif, data_nasc, cidade) values (66, 'Dalton Nutkin', 126472332, '2003-08-16', 'Linshui');
insert into cliente (id_cliente, nome, nif, data_nasc, cidade) values (67, 'Gregg Gorman', 967986921, '1944-03-19', 'Malusay');
insert into cliente (id_cliente, nome, nif, data_nasc, cidade) values (68, 'Gates O''Leagham', 430976522, '2001-04-07', 'Bršadin');
insert into cliente (id_cliente, nome, nif, data_nasc, cidade) values (69, 'Rosalinda McWilliam', 163638776, '1985-09-29', 'Parral');
insert into cliente (id_cliente, nome, nif, data_nasc, cidade) values (70, 'Nicole Addington', 796176956, '1947-11-16', 'Kuala Lumpur');
insert into cliente (id_cliente, nome, nif, data_nasc, cidade) values (71, 'Reiko Camocke', 483043427, '1992-07-04', 'Rancabuaya');
insert into cliente (id_cliente, nome, nif, data_nasc, cidade) values (72, 'Dolores Gyngell', 962092115, '1953-12-17', 'Toba Tek Singh');
insert into cliente (id_cliente, nome, nif, data_nasc, cidade) values (73, 'Syman Borell', 222152109, '1966-03-12', 'Gesik');
insert into cliente (id_cliente, nome, nif, data_nasc, cidade) values (74, 'Jerry Dodridge', 938864508, '1989-06-24', 'Cisadap');
insert into cliente (id_cliente, nome, nif, data_nasc, cidade) values (75, 'Mattias Seatter', 598520175, '1996-05-28', 'Buensuseso');
insert into cliente (id_cliente, nome, nif, data_nasc, cidade) values (76, 'Kingston Yakebovitch', 349374012, '1993-03-26', 'Saint-Maur-des-Fossés');
insert into cliente (id_cliente, nome, nif, data_nasc, cidade) values (77, 'Joelly Estable', 972293125, '1950-01-20', 'Huadian');
insert into cliente (id_cliente, nome, nif, data_nasc, cidade) values (78, 'Lorenzo Verson', 280843678, '1968-04-11', 'Denver');
insert into cliente (id_cliente, nome, nif, data_nasc, cidade) values (79, 'Nichole Wurst', 947868300, '1941-04-10', 'Eastern Suburbs Mc');
insert into cliente (id_cliente, nome, nif, data_nasc, cidade) values (80, 'Annora Esby', 523158075, '1997-09-09', 'Hengdaohezi');
insert into cliente (id_cliente, nome, nif, data_nasc, cidade) values (81, 'Nate Brazer', 253483671, '1955-05-22', 'Bremen');
insert into cliente (id_cliente, nome, nif, data_nasc, cidade) values (82, 'Hirsch Caesar', 140028312, '1967-06-12', 'Courtaboeuf');
insert into cliente (id_cliente, nome, nif, data_nasc, cidade) values (83, 'Glennis Wickstead', 973017717, '1977-12-28', 'Mikun’');
insert into cliente (id_cliente, nome, nif, data_nasc, cidade) values (84, 'Leroy Radolf', 708077626, '1977-01-04', 'San Francisco');
insert into cliente (id_cliente, nome, nif, data_nasc, cidade) values (85, 'Ingeborg Tuminini', 722903595, '1973-12-23', 'Changtan');
insert into cliente (id_cliente, nome, nif, data_nasc, cidade) values (86, 'Hatti Paterno', 552240517, '1981-01-11', 'Zhangjiagang');
insert into cliente (id_cliente, nome, nif, data_nasc, cidade) values (87, 'Rad Hamlen', 520543321, '1940-09-24', 'Krasnyy Yar');
insert into cliente (id_cliente, nome, nif, data_nasc, cidade) values (88, 'Cristin Slowgrove', 969597716, '1938-08-17', 'Gannan');
insert into cliente (id_cliente, nome, nif, data_nasc, cidade) values (89, 'Nanon Brundrett', 168013499, '1954-12-26', 'Canaman');
insert into cliente (id_cliente, nome, nif, data_nasc, cidade) values (90, 'Elissa Thorsen', 230652404, '1999-07-03', 'Mashtūl as Sūq');
insert into cliente (id_cliente, nome, nif, data_nasc, cidade) values (91, 'Chloe Halliberton', 276923148, '1963-11-13', 'Beichengqu');
insert into cliente (id_cliente, nome, nif, data_nasc, cidade) values (92, 'Philbert Duester', 976408371, '1990-11-20', 'Bromma');
insert into cliente (id_cliente, nome, nif, data_nasc, cidade) values (93, 'Talbot Valente', 703275183, '1955-05-21', 'Anle');
insert into cliente (id_cliente, nome, nif, data_nasc, cidade) values (94, 'Teddy Agius', 861389416, '1983-04-24', 'Hà Tiên');
insert into cliente (id_cliente, nome, nif, data_nasc, cidade) values (95, 'Ned Petschel', 164749350, '1941-01-31', 'Cikadu');
insert into cliente (id_cliente, nome, nif, data_nasc, cidade) values (96, 'Shawna McNeice', 353850360, '1958-01-18', 'Caticugan');
insert into cliente (id_cliente, nome, nif, data_nasc, cidade) values (97, 'Ernestine Benedite', 163995610, '1957-04-03', 'Buracan');
insert into cliente (id_cliente, nome, nif, data_nasc, cidade) values (98, 'Tirrell Burgane', 364907810, '1954-08-30', 'Ouani');
insert into cliente (id_cliente, nome, nif, data_nasc, cidade) values (99, 'Wilburt Mauser', 132401552, '1935-04-08', 'Hisor');
insert into cliente (id_cliente, nome, nif, data_nasc, cidade) values (100, 'Kerrill Coolican', 817093350, '1988-09-28', 'Makanya');
insert into cliente (id_cliente, nome, nif, data_nasc, cidade) values (101, 'Lesya Fleming', 275102220, '2004-03-13', 'Noormarkku');
insert into cliente (id_cliente, nome, nif, data_nasc, cidade) values (102, 'Gregor Beggio', 989931218, '2005-05-18', 'Wolanów');
insert into cliente (id_cliente, nome, nif, data_nasc, cidade) values (103, 'Ellene Cottingham', 369645881, '1940-02-20', 'Limulunga');
insert into cliente (id_cliente, nome, nif, data_nasc, cidade) values (104, 'Willabella Gentery', 363410472, '2000-02-03', 'Tempe');
insert into cliente (id_cliente, nome, nif, data_nasc, cidade) values (105, 'Jesselyn Ianniello', 480649510, '1962-01-09', 'Wang Hin');
insert into cliente (id_cliente, nome, nif, data_nasc, cidade) values (106, 'Cordelia Fynan', 761624458, '1976-05-26', 'Jarabacoa');
insert into cliente (id_cliente, nome, nif, data_nasc, cidade) values (107, 'Cristi Brackenbury', 719533814, '1960-11-09', 'Naivasha');
insert into cliente (id_cliente, nome, nif, data_nasc, cidade) values (108, 'Aili Catford', 204076622, '1991-03-21', 'Khodzha-Maston');
insert into cliente (id_cliente, nome, nif, data_nasc, cidade) values (109, 'Teriann Tilney', 852427753, '1943-09-21', 'Rancagua');
insert into cliente (id_cliente, nome, nif, data_nasc, cidade) values (110, 'Orren Keal', 791396235, '1981-05-04', 'Takefu');
insert into cliente (id_cliente, nome, nif, data_nasc, cidade) values (111, 'Courtney Killen', 281128956, '1978-08-07', 'Barão de Cocais');
insert into cliente (id_cliente, nome, nif, data_nasc, cidade) values (112, 'Rosita Whannel', 527352167, '1970-11-07', 'Huoshaodian');
insert into cliente (id_cliente, nome, nif, data_nasc, cidade) values (113, 'Sammy Jervoise', 612899409, '1942-08-29', 'Paraíso de Chabasquén');
insert into cliente (id_cliente, nome, nif, data_nasc, cidade) values (114, 'Norine Delafont', 247133297, '2001-04-06', 'Longxi');
insert into cliente (id_cliente, nome, nif, data_nasc, cidade) values (115, 'Liesa Mitchell', 188751389, '1984-10-01', 'Kedungdoro');
insert into cliente (id_cliente, nome, nif, data_nasc, cidade) values (116, 'Othella Bratch', 746572011, '1958-04-28', 'Naze');
insert into cliente (id_cliente, nome, nif, data_nasc, cidade) values (117, 'Richy Giametti', 858096128, '1959-06-21', 'Belene');
insert into cliente (id_cliente, nome, nif, data_nasc, cidade) values (118, 'Rubi Macquire', 965337608, '1998-08-23', 'Bronkhorstspruit');
insert into cliente (id_cliente, nome, nif, data_nasc, cidade) values (119, 'De witt Chaperlin', 396998795, '1961-05-26', 'Sinjai');
insert into cliente (id_cliente, nome, nif, data_nasc, cidade) values (120, 'Thalia Hizir', 245015558, '2005-04-12', 'Solna');
insert into cliente (id_cliente, nome, nif, data_nasc, cidade) values (121, 'Lyndell Tunaclift', 848804844, '1935-11-04', 'Hauhena');
insert into cliente (id_cliente, nome, nif, data_nasc, cidade) values (122, 'Marcella Bendig', 245330201, '1964-03-02', 'Medenine');
insert into cliente (id_cliente, nome, nif, data_nasc, cidade) values (123, 'Barnabe Elles', 447342741, '1940-01-07', 'Cova da Iria');
insert into cliente (id_cliente, nome, nif, data_nasc, cidade) values (124, 'Alfredo Blodgett', 629135339, '1968-08-09', 'Kota Kinabalu');
insert into cliente (id_cliente, nome, nif, data_nasc, cidade) values (125, 'Hally Gipp', 365562064, '2005-05-16', 'Huolongping');
insert into cliente (id_cliente, nome, nif, data_nasc, cidade) values (126, 'Ania Ridde', 754642147, '2004-01-12', 'Wakefield');
insert into cliente (id_cliente, nome, nif, data_nasc, cidade) values (127, 'Anne-marie Ducarne', 163552546, '1951-01-30', 'Shakhun’ya');
insert into cliente (id_cliente, nome, nif, data_nasc, cidade) values (128, 'Patsy Scruby', 408575905, '1954-04-11', 'Berëzovka');
insert into cliente (id_cliente, nome, nif, data_nasc, cidade) values (129, 'Ernaline Rait', 645010106, '1949-06-08', 'Yaroslavskaya');
insert into cliente (id_cliente, nome, nif, data_nasc, cidade) values (130, 'Bald Van Der Vlies', 343923273, '1951-09-25', 'Al Mughayyir');
insert into cliente (id_cliente, nome, nif, data_nasc, cidade) values (131, 'Glynda Mebius', 531566475, '1980-08-08', 'Arsenal');
insert into cliente (id_cliente, nome, nif, data_nasc, cidade) values (132, 'Muhammad Corris', 792011496, '1966-02-06', 'Orlovskiy');
insert into cliente (id_cliente, nome, nif, data_nasc, cidade) values (133, 'Scarlett Gainsborough', 865725212, '1996-12-20', 'Parumasan');
insert into cliente (id_cliente, nome, nif, data_nasc, cidade) values (134, 'Vitoria Calderon', 422764292, '2001-02-16', 'Blachownia');
insert into cliente (id_cliente, nome, nif, data_nasc, cidade) values (135, 'Adi Tolland', 673711331, '1971-05-04', 'Banbalah');
insert into cliente (id_cliente, nome, nif, data_nasc, cidade) values (136, 'Ariadne Harvatt', 561893566, '1996-01-14', 'Gelgaudiškis');
insert into cliente (id_cliente, nome, nif, data_nasc, cidade) values (137, 'Claribel Grevel', 908404405, '1951-06-21', 'Aeka');
insert into cliente (id_cliente, nome, nif, data_nasc, cidade) values (138, 'Umeko Radenhurst', 764168002, '1943-08-29', 'Kazuno');
insert into cliente (id_cliente, nome, nif, data_nasc, cidade) values (139, 'Fay Dillon', 862142085, '1976-01-30', 'Desa Werasari');
insert into cliente (id_cliente, nome, nif, data_nasc, cidade) values (140, 'Gram Floweth', 415672420, '1987-11-15', 'Miandrarivo');
insert into cliente (id_cliente, nome, nif, data_nasc, cidade) values (141, 'Kiersten Geraldez', 208499233, '1981-01-04', 'Taishang');
insert into cliente (id_cliente, nome, nif, data_nasc, cidade) values (142, 'Upton Lipgens', 163829492, '1985-08-02', 'Bagusan');
insert into cliente (id_cliente, nome, nif, data_nasc, cidade) values (143, 'Cher Bleibaum', 310158058, '1965-02-17', 'Basud');
insert into cliente (id_cliente, nome, nif, data_nasc, cidade) values (144, 'Nathaniel Ravel', 850254122, '1998-12-18', 'Iperó');
insert into cliente (id_cliente, nome, nif, data_nasc, cidade) values (145, 'Norbert Knowles', 820298245, '1970-06-08', 'Cauayan');
insert into cliente (id_cliente, nome, nif, data_nasc, cidade) values (146, 'Tommy Szymonwicz', 964420378, '1984-10-24', 'Batukuta');
insert into cliente (id_cliente, nome, nif, data_nasc, cidade) values (147, 'Henrik Stubbe', 984640433, '1962-10-14', 'Hepo');
insert into cliente (id_cliente, nome, nif, data_nasc, cidade) values (148, 'Sabra Payle', 408129356, '1986-07-13', 'Néa Karyá');
insert into cliente (id_cliente, nome, nif, data_nasc, cidade) values (149, 'Elora Olexa', 914876716, '1994-08-06', 'Kyosai');
insert into cliente (id_cliente, nome, nif, data_nasc, cidade) values (150, 'Josephine Rosario', 841719793, '1995-07-19', 'São Borja');
insert into cliente (id_cliente, nome, nif, data_nasc, cidade) values (151, 'Natalee Wymer', 968879216, '1976-11-08', 'Enewetak');
insert into cliente (id_cliente, nome, nif, data_nasc, cidade) values (152, 'Cori Lemmertz', 910474535, '1997-05-04', 'Malanday');
insert into cliente (id_cliente, nome, nif, data_nasc, cidade) values (153, 'Glynis Coskerry', 673153799, '1992-02-02', 'Neftegorsk');
insert into cliente (id_cliente, nome, nif, data_nasc, cidade) values (154, 'Abby Grimbleby', 405258517, '1970-06-18', 'Barra do Bugres');
insert into cliente (id_cliente, nome, nif, data_nasc, cidade) values (155, 'Rex Castrillo', 760024484, '1979-12-16', 'Wutumeiren');
insert into cliente (id_cliente, nome, nif, data_nasc, cidade) values (156, 'Sandra Coultous', 503399124, '1935-01-10', 'Pushkino');
insert into cliente (id_cliente, nome, nif, data_nasc, cidade) values (157, 'Loydie Rampage', 117669525, '1962-07-26', 'Kremidivka');
insert into cliente (id_cliente, nome, nif, data_nasc, cidade) values (158, 'Cash Radish', 703878220, '1946-12-13', 'Bowang');
insert into cliente (id_cliente, nome, nif, data_nasc, cidade) values (159, 'Cozmo Sans', 755335019, '1982-11-04', 'Capellanía');
insert into cliente (id_cliente, nome, nif, data_nasc, cidade) values (160, 'El Kyteley', 824645456, '1961-03-04', 'Vallentuna');
insert into cliente (id_cliente, nome, nif, data_nasc, cidade) values (161, 'Rainer Cowperthwaite', 622978317, '2005-07-25', 'San Martin');
insert into cliente (id_cliente, nome, nif, data_nasc, cidade) values (162, 'Abbey Dresse', 360164851, '1941-05-19', 'Mozirje');
insert into cliente (id_cliente, nome, nif, data_nasc, cidade) values (163, 'Merla Spowart', 830120260, '1945-02-03', 'Caucete');
insert into cliente (id_cliente, nome, nif, data_nasc, cidade) values (164, 'Adrian Hainey', 399802102, '1965-06-24', 'Vitry-sur-Seine');
insert into cliente (id_cliente, nome, nif, data_nasc, cidade) values (165, 'Delaney Besse', 829691317, '1952-12-08', 'Žrnovo');
insert into cliente (id_cliente, nome, nif, data_nasc, cidade) values (166, 'Michaella Rysdale', 288647879, '1974-10-28', 'Longtang');
insert into cliente (id_cliente, nome, nif, data_nasc, cidade) values (167, 'Alana Fearnyough', 491609901, '2000-12-21', 'Oumiao');
insert into cliente (id_cliente, nome, nif, data_nasc, cidade) values (168, 'Darbee Yanin', 682035991, '1934-06-14', 'Kure');
insert into cliente (id_cliente, nome, nif, data_nasc, cidade) values (169, 'Haskell Jenk', 374024257, '1965-05-05', 'Tarauacá');
insert into cliente (id_cliente, nome, nif, data_nasc, cidade) values (170, 'Jillana Bryson', 632040323, '1995-04-19', 'Al Abyār');
insert into cliente (id_cliente, nome, nif, data_nasc, cidade) values (171, 'Rycca Sodor', 961046449, '1964-08-31', 'Mocoa');
insert into cliente (id_cliente, nome, nif, data_nasc, cidade) values (172, 'Willetta Scanterbury', 639360329, '1978-08-29', 'Pereval''noe');
insert into cliente (id_cliente, nome, nif, data_nasc, cidade) values (173, 'Debee Bertomieu', 692514598, '1951-05-04', 'Calubcub Dos');
insert into cliente (id_cliente, nome, nif, data_nasc, cidade) values (174, 'Aubrie Dudney', 942149781, '1945-04-23', 'San Diego');
insert into cliente (id_cliente, nome, nif, data_nasc, cidade) values (175, 'Crissie Herreros', 454369149, '1936-04-06', 'Kolodeznyy');
insert into cliente (id_cliente, nome, nif, data_nasc, cidade) values (176, 'Peg Gonsalo', 221318343, '1963-04-25', 'Busilak');
insert into cliente (id_cliente, nome, nif, data_nasc, cidade) values (177, 'Osbert Garrison', 500714944, '1935-09-26', 'Símantra');
insert into cliente (id_cliente, nome, nif, data_nasc, cidade) values (178, 'Dania Wybron', 681897189, '1993-12-05', 'Wangcungang');
insert into cliente (id_cliente, nome, nif, data_nasc, cidade) values (179, 'Cody Lester', 292421104, '1985-08-22', 'Duko');
insert into cliente (id_cliente, nome, nif, data_nasc, cidade) values (180, 'Gretta Grubb', 513535321, '1971-07-16', 'Nirji');
insert into cliente (id_cliente, nome, nif, data_nasc, cidade) values (181, 'Belva Hanniger', 525133167, '1955-04-23', 'Mompós');
insert into cliente (id_cliente, nome, nif, data_nasc, cidade) values (182, 'Sherlock Tixall', 260001536, '1948-07-10', 'Vale da Pedra');
insert into cliente (id_cliente, nome, nif, data_nasc, cidade) values (183, 'Beitris Lavis', 981302722, '2003-08-31', 'Tucson');
insert into cliente (id_cliente, nome, nif, data_nasc, cidade) values (184, 'Pebrook McCaughran', 313011946, '1979-02-03', 'Gebang');
insert into cliente (id_cliente, nome, nif, data_nasc, cidade) values (185, 'Tito Ledamun', 564986667, '1942-12-04', 'Poste du Lac');
insert into cliente (id_cliente, nome, nif, data_nasc, cidade) values (186, 'Saleem Kemmet', 684962029, '1995-09-12', 'Mouhijärvi');
insert into cliente (id_cliente, nome, nif, data_nasc, cidade) values (187, 'Fletch Cogdell', 443106332, '1952-01-30', 'Grande Rivière Noire');
insert into cliente (id_cliente, nome, nif, data_nasc, cidade) values (188, 'Odey Adkins', 614337935, '1990-07-21', 'Радовиш');
insert into cliente (id_cliente, nome, nif, data_nasc, cidade) values (189, 'Blakelee Riste', 843659116, '1988-04-25', 'Yuefeng');
insert into cliente (id_cliente, nome, nif, data_nasc, cidade) values (190, 'Gabie Stirling', 415613386, '1997-11-18', 'Vom');
insert into cliente (id_cliente, nome, nif, data_nasc, cidade) values (191, 'Eberhard Higgoe', 895104482, '1986-09-10', 'Xinhua');
insert into cliente (id_cliente, nome, nif, data_nasc, cidade) values (192, 'Mariele Gisburne', 614505942, '1949-03-10', 'Kayima');
insert into cliente (id_cliente, nome, nif, data_nasc, cidade) values (193, 'Daphene Steger', 245299186, '1960-11-03', 'Göteborg');
insert into cliente (id_cliente, nome, nif, data_nasc, cidade) values (194, 'Sheree Dummett', 394832409, '1966-07-21', 'Évlalo');
insert into cliente (id_cliente, nome, nif, data_nasc, cidade) values (195, 'Silvester Bullene', 387435836, '1985-03-16', 'Shanghang');
insert into cliente (id_cliente, nome, nif, data_nasc, cidade) values (196, 'Rafa McCreery', 405162702, '2005-12-20', 'Kryvichy');
insert into cliente (id_cliente, nome, nif, data_nasc, cidade) values (197, 'Alysa Snaddin', 806060021, '1961-08-16', 'Itatiba');
insert into cliente (id_cliente, nome, nif, data_nasc, cidade) values (198, 'Chickie Fassbender', 342820085, '2004-09-23', 'Edéa');
insert into cliente (id_cliente, nome, nif, data_nasc, cidade) values (199, 'Pearle Crowth', 769247569, '1961-09-09', 'Tabu');
insert into cliente (id_cliente, nome, nif, data_nasc, cidade) values (200, 'David Huc', 733001393, '1992-03-20', 'Buliwao');
insert into cliente (id_cliente, nome, nif, data_nasc, cidade) values (201, 'Lavina Tollit', 506815057, '1963-11-11', 'Gilowice');
insert into cliente (id_cliente, nome, nif, data_nasc, cidade) values (202, 'Lillis Aucutt', 566884771, '1957-03-19', 'Bujumbura');
insert into cliente (id_cliente, nome, nif, data_nasc, cidade) values (203, 'Drud Yele', 124841694, '1996-04-22', 'Merke');
insert into cliente (id_cliente, nome, nif, data_nasc, cidade) values (204, 'Kora Yeats', 386716941, '1991-07-01', 'Benito Juarez');
insert into cliente (id_cliente, nome, nif, data_nasc, cidade) values (205, 'Ivonne Causbey', 187887164, '1952-07-23', 'Bandeirantes');
insert into cliente (id_cliente, nome, nif, data_nasc, cidade) values (206, 'Morris Kindred', 297866093, '1990-01-13', 'Nevers');
insert into cliente (id_cliente, nome, nif, data_nasc, cidade) values (207, 'Michail Loudyan', 524937412, '1979-07-25', 'Belverde');
