insert into funcionario (id_funcionario, nome, tipo_funcionario) values (1, 'Farrand Scarff', 'charcuteiro');
insert into funcionario (id_funcionario, nome, tipo_funcionario) values (63, 'Torrey Freer', 'caixa');
insert into funcionario (id_funcionario, nome, tipo_funcionario) values (64, 'Lorianna Sodo', 'peixeiro');
insert into funcionario (id_funcionario, nome, tipo_funcionario) values (65, 'Wendy Hebble', 'peixeiro');
insert into funcionario (id_funcionario, nome, tipo_funcionario) values (66, 'Al Klosa', 'peixeiro');
insert into funcionario (id_funcionario, nome, tipo_funcionario) values (67, 'Rosy Khomishin', 'charcuteiro');
insert into funcionario (id_funcionario, nome, tipo_funcionario) values (68, 'Georgie Wyvill', 'talhante');
insert into funcionario (id_funcionario, nome, tipo_funcionario) values (69, 'Lonee Lissimore', 'peixeiro');
insert into funcionario (id_funcionario, nome, tipo_funcionario) values (70, 'Leeanne Kirrage', 'charcuteiro');
insert into funcionario (id_funcionario, nome, tipo_funcionario) values (71, 'Bertram Bowness', 'charcuteiro');
insert into funcionario (id_funcionario, nome, tipo_funcionario) values (72, 'Megan Lansdown', 'talhante');
insert into funcionario (id_funcionario, nome, tipo_funcionario) values (73, 'Laurette Sired', 'peixeiro');
insert into funcionario (id_funcionario, nome, tipo_funcionario) values (74, 'Myriam Rubinsztein', 'peixeiro');
insert into funcionario (id_funcionario, nome, tipo_funcionario) values (75, 'Sheilah Trengrouse', 'operador');
insert into funcionario (id_funcionario, nome, tipo_funcionario) values (76, 'Elsey Obin', 'operador');
insert into funcionario (id_funcionario, nome, tipo_funcionario) values (77, 'Isabel Waud', 'caixa');
insert into funcionario (id_funcionario, nome, tipo_funcionario) values (78, 'Margalit Parminter', 'talhante');
insert into funcionario (id_funcionario, nome, tipo_funcionario) values (79, 'Augustin Bisacre', 'caixa');
insert into funcionario (id_funcionario, nome, tipo_funcionario) values (80, 'Jermaine Ransom', 'peixeiro');
insert into funcionario (id_funcionario, nome, tipo_funcionario) values (81, 'Filmore Puden', 'operador');
insert into funcionario (id_funcionario, nome, tipo_funcionario) values (82, 'Gilbertine Biesty', 'operador');
insert into funcionario (id_funcionario, nome, tipo_funcionario) values (83, 'Gibbie Greengrass', 'charcuteiro');
insert into funcionario (id_funcionario, nome, tipo_funcionario) values (84, 'Audra Danilchev', 'operador');
insert into funcionario (id_funcionario, nome, tipo_funcionario) values (85, 'Cindie Briston', 'caixa');
insert into funcionario (id_funcionario, nome, tipo_funcionario) values (86, 'Edi Zapatero', 'peixeiro');
insert into funcionario (id_funcionario, nome, tipo_funcionario) values (87, 'Marchall Runchman', 'talhante');
insert into funcionario (id_funcionario, nome, tipo_funcionario) values (88, 'Ulises Buckie', 'caixa');
insert into funcionario (id_funcionario, nome, tipo_funcionario) values (89, 'Abdel Treadwell', 'talhante');
insert into funcionario (id_funcionario, nome, tipo_funcionario) values (90, 'Bria Busfield', 'caixa');
insert into funcionario (id_funcionario, nome, tipo_funcionario) values (91, 'Den Fidian', 'operador');
insert into funcionario (id_funcionario, nome, tipo_funcionario) values (92, 'Dur Retchless', 'caixa');
insert into funcionario (id_funcionario, nome, tipo_funcionario) values (93, 'Thornie Walworth', 'charcuteiro');
insert into funcionario (id_funcionario, nome, tipo_funcionario) values (94, 'Tallulah Middleditch', 'talhante');
insert into funcionario (id_funcionario, nome, tipo_funcionario) values (95, 'Homerus Galfour', 'charcuteiro');
insert into funcionario (id_funcionario, nome, tipo_funcionario) values (96, 'Rudolf Romera', 'peixeiro');
insert into funcionario (id_funcionario, nome, tipo_funcionario) values (97, 'Wait Blannin', 'peixeiro');
insert into funcionario (id_funcionario, nome, tipo_funcionario) values (98, 'Francisca Thornham', 'operador');
insert into funcionario (id_funcionario, nome, tipo_funcionario) values (99, 'Calv Napton', 'talhante');
insert into funcionario (id_funcionario, nome, tipo_funcionario) values (100, 'Erich Halleybone', 'peixeiro');
insert into funcionario (id_funcionario, nome, tipo_funcionario) values (101, 'Josephina Mourton', 'talhante');
insert into funcionario (id_funcionario, nome, tipo_funcionario) values (102, 'Linn Hellwig', 'charcuteiro');
insert into funcionario (id_funcionario, nome, tipo_funcionario) values (103, 'Karrie Kingshott', 'talhante');
insert into funcionario (id_funcionario, nome, tipo_funcionario) values (104, 'Marlyn Cripps', 'talhante');
insert into funcionario (id_funcionario, nome, tipo_funcionario) values (105, 'Raynor Lewinton', 'charcuteiro');
insert into funcionario (id_funcionario, nome, tipo_funcionario) values (106, 'Davie Story', 'peixeiro');
insert into funcionario (id_funcionario, nome, tipo_funcionario) values (107, 'Lezlie Litton', 'peixeiro');
insert into funcionario (id_funcionario, nome, tipo_funcionario) values (108, 'Reeva Killen', 'operador');
insert into funcionario (id_funcionario, nome, tipo_funcionario) values (109, 'Locke Cattenach', 'charcuteiro');
insert into funcionario (id_funcionario, nome, tipo_funcionario) values (110, 'Milzie Swendell', 'operador');
insert into funcionario (id_funcionario, nome, tipo_funcionario) values (111, 'Calvin Prott', 'peixeiro');
insert into funcionario (id_funcionario, nome, tipo_funcionario) values (112, 'Isadora Keld', 'peixeiro');
insert into funcionario (id_funcionario, nome, tipo_funcionario) values (113, 'Kevina Byrcher', 'operador');
insert into funcionario (id_funcionario, nome, tipo_funcionario) values (114, 'Sibley Closs', 'caixa');
insert into funcionario (id_funcionario, nome, tipo_funcionario) values (115, 'Darline Baly', 'charcuteiro');
insert into funcionario (id_funcionario, nome, tipo_funcionario) values (116, 'Ruthe Boreham', 'caixa');
insert into funcionario (id_funcionario, nome, tipo_funcionario) values (117, 'Heidi Nordass', 'talhante');
insert into funcionario (id_funcionario, nome, tipo_funcionario) values (118, 'Gerick McNaughton', 'charcuteiro');
insert into funcionario (id_funcionario, nome, tipo_funcionario) values (119, 'Kenna Lorriman', 'peixeiro');
insert into funcionario (id_funcionario, nome, tipo_funcionario) values (120, 'Weidar Speere', 'charcuteiro');
insert into funcionario (id_funcionario, nome, tipo_funcionario) values (121, 'Lydia Shedd', 'peixeiro');
insert into funcionario (id_funcionario, nome, tipo_funcionario) values (122, 'Jase Pulsford', 'caixa');
insert into funcionario (id_funcionario, nome, tipo_funcionario) values (123, 'Ximenes Rayne', 'talhante');
insert into funcionario (id_funcionario, nome, tipo_funcionario) values (124, 'Agustin Blencoe', 'operador');
insert into funcionario (id_funcionario, nome, tipo_funcionario) values (125, 'Luella Kettle', 'charcuteiro');
insert into funcionario (id_funcionario, nome, tipo_funcionario) values (126, 'Mavra Shaddick', 'talhante');
insert into funcionario (id_funcionario, nome, tipo_funcionario) values (127, 'Stern Wapol', 'operador');
insert into funcionario (id_funcionario, nome, tipo_funcionario) values (128, 'Siana De Malchar', 'talhante');
insert into funcionario (id_funcionario, nome, tipo_funcionario) values (129, 'Horten Slaten', 'peixeiro');
insert into funcionario (id_funcionario, nome, tipo_funcionario) values (130, 'Violette Hurne', 'talhante');
insert into funcionario (id_funcionario, nome, tipo_funcionario) values (131, 'Raviv Corneil', 'peixeiro');
insert into funcionario (id_funcionario, nome, tipo_funcionario) values (132, 'Bel Heining', 'charcuteiro');
insert into funcionario (id_funcionario, nome, tipo_funcionario) values (133, 'Karola Tiplady', 'charcuteiro');
insert into funcionario (id_funcionario, nome, tipo_funcionario) values (134, 'Philippa Ashmore', 'charcuteiro');
insert into funcionario (id_funcionario, nome, tipo_funcionario) values (135, 'Joycelin Prenty', 'operador');
insert into funcionario (id_funcionario, nome, tipo_funcionario) values (136, 'Dulcinea Iacobucci', 'peixeiro');
insert into funcionario (id_funcionario, nome, tipo_funcionario) values (137, 'Ware Morden', 'caixa');
insert into funcionario (id_funcionario, nome, tipo_funcionario) values (138, 'Zachariah Flecknell', 'charcuteiro');
insert into funcionario (id_funcionario, nome, tipo_funcionario) values (139, 'Gus Horsefield', 'talhante');
insert into funcionario (id_funcionario, nome, tipo_funcionario) values (140, 'Ignaz Dole', 'talhante');
insert into funcionario (id_funcionario, nome, tipo_funcionario) values (141, 'Barb Haffner', 'talhante');
insert into funcionario (id_funcionario, nome, tipo_funcionario) values (142, 'Husain Dearlove', 'peixeiro');
insert into funcionario (id_funcionario, nome, tipo_funcionario) values (143, 'Spense Hotton', 'peixeiro');
insert into funcionario (id_funcionario, nome, tipo_funcionario) values (144, 'Clement Bretelle', 'peixeiro');
insert into funcionario (id_funcionario, nome, tipo_funcionario) values (145, 'Priscilla Blois', 'caixa');
insert into funcionario (id_funcionario, nome, tipo_funcionario) values (146, 'Toby Gregoletti', 'operador');
insert into funcionario (id_funcionario, nome, tipo_funcionario) values (147, 'Bari Wildin', 'operador');
insert into funcionario (id_funcionario, nome, tipo_funcionario) values (148, 'Jabez Baglin', 'talhante');
insert into funcionario (id_funcionario, nome, tipo_funcionario) values (149, 'Shelton Heller', 'charcuteiro');
insert into funcionario (id_funcionario, nome, tipo_funcionario) values (150, 'Laure Oller', 'talhante');
insert into funcionario (id_funcionario, nome, tipo_funcionario) values (151, 'Grata Dolohunty', 'operador');
insert into funcionario (id_funcionario, nome, tipo_funcionario) values (152, 'Ardith Furneaux', 'charcuteiro');
insert into funcionario (id_funcionario, nome, tipo_funcionario) values (153, 'Myriam Huller', 'charcuteiro');
insert into funcionario (id_funcionario, nome, tipo_funcionario) values (154, 'Stewart Terzi', 'operador');
insert into funcionario (id_funcionario, nome, tipo_funcionario) values (155, 'Nicol Manna', 'charcuteiro');
insert into funcionario (id_funcionario, nome, tipo_funcionario) values (156, 'Lesli de Keyser', 'operador');
insert into funcionario (id_funcionario, nome, tipo_funcionario) values (157, 'Lockwood Brende', 'charcuteiro');
insert into funcionario (id_funcionario, nome, tipo_funcionario) values (158, 'Ole Warn', 'caixa');
insert into funcionario (id_funcionario, nome, tipo_funcionario) values (159, 'Bellanca McCamish', 'talhante');
insert into funcionario (id_funcionario, nome, tipo_funcionario) values (160, 'Gigi Posselt', 'peixeiro');
insert into funcionario (id_funcionario, nome, tipo_funcionario) values (161, 'Averil Mandrey', 'talhante');
insert into funcionario (id_funcionario, nome, tipo_funcionario) values (162, 'Giuseppe Weiser', 'caixa');
insert into funcionario (id_funcionario, nome, tipo_funcionario) values (163, 'Adelina Usherwood', 'charcuteiro');
insert into funcionario (id_funcionario, nome, tipo_funcionario) values (164, 'Hazel Fellibrand', 'peixeiro');
insert into funcionario (id_funcionario, nome, tipo_funcionario) values (165, 'Warden Seleway', 'peixeiro');
insert into funcionario (id_funcionario, nome, tipo_funcionario) values (166, 'Adelaide Schaffel', 'talhante');
insert into funcionario (id_funcionario, nome, tipo_funcionario) values (167, 'Carson Fields', 'caixa');
insert into funcionario (id_funcionario, nome, tipo_funcionario) values (168, 'Charity Darnody', 'operador');
insert into funcionario (id_funcionario, nome, tipo_funcionario) values (169, 'Del Swarbrick', 'talhante');
insert into funcionario (id_funcionario, nome, tipo_funcionario) values (170, 'Nikolaus Emanson', 'talhante');
insert into funcionario (id_funcionario, nome, tipo_funcionario) values (171, 'Carlina Ebbs', 'operador');
insert into funcionario (id_funcionario, nome, tipo_funcionario) values (172, 'Nanci Hannan', 'talhante');
insert into funcionario (id_funcionario, nome, tipo_funcionario) values (173, 'Caryl Goodwyn', 'charcuteiro');
insert into funcionario (id_funcionario, nome, tipo_funcionario) values (174, 'Morris Chesworth', 'peixeiro');
insert into funcionario (id_funcionario, nome, tipo_funcionario) values (175, 'Gwenny Zecchi', 'talhante');
insert into funcionario (id_funcionario, nome, tipo_funcionario) values (176, 'Gerti Jorn', 'caixa');
insert into funcionario (id_funcionario, nome, tipo_funcionario) values (177, 'Tan Kipping', 'talhante');
insert into funcionario (id_funcionario, nome, tipo_funcionario) values (178, 'Hollis Yanshonok', 'caixa');
insert into funcionario (id_funcionario, nome, tipo_funcionario) values (179, 'Vaclav Jozefczak', 'peixeiro');
insert into funcionario (id_funcionario, nome, tipo_funcionario) values (180, 'Angelico Tharme', 'talhante');
insert into funcionario (id_funcionario, nome, tipo_funcionario) values (181, 'Hagan Keelinge', 'operador');
insert into funcionario (id_funcionario, nome, tipo_funcionario) values (182, 'Giustina Melwall', 'peixeiro');
insert into funcionario (id_funcionario, nome, tipo_funcionario) values (183, 'Stafani Oakey', 'talhante');
insert into funcionario (id_funcionario, nome, tipo_funcionario) values (184, 'Tilly Corcut', 'talhante');
insert into funcionario (id_funcionario, nome, tipo_funcionario) values (185, 'Rudolph Tilling', 'operador');
insert into funcionario (id_funcionario, nome, tipo_funcionario) values (186, 'Slade Tett', 'charcuteiro');
insert into funcionario (id_funcionario, nome, tipo_funcionario) values (187, 'Nigel Zapata', 'caixa');
insert into funcionario (id_funcionario, nome, tipo_funcionario) values (188, 'Cati Bantham', 'charcuteiro');
insert into funcionario (id_funcionario, nome, tipo_funcionario) values (189, 'Lorie Crotty', 'peixeiro');
insert into funcionario (id_funcionario, nome, tipo_funcionario) values (190, 'Jill Barnish', 'operador');
insert into funcionario (id_funcionario, nome, tipo_funcionario) values (191, 'Darlleen Labone', 'peixeiro');
insert into funcionario (id_funcionario, nome, tipo_funcionario) values (192, 'Marketa Callway', 'operador');
insert into funcionario (id_funcionario, nome, tipo_funcionario) values (193, 'Clarinda McPheat', 'charcuteiro');
insert into funcionario (id_funcionario, nome, tipo_funcionario) values (194, 'Erena Blackaller', 'peixeiro');
insert into funcionario (id_funcionario, nome, tipo_funcionario) values (195, 'Susan Geerling', 'peixeiro');
insert into funcionario (id_funcionario, nome, tipo_funcionario) values (196, 'Luz Dawdry', 'talhante');
insert into funcionario (id_funcionario, nome, tipo_funcionario) values (197, 'Erasmus Buckhurst', 'talhante');
insert into funcionario (id_funcionario, nome, tipo_funcionario) values (198, 'Misty Noar', 'peixeiro');
insert into funcionario (id_funcionario, nome, tipo_funcionario) values (199, 'Carlo Petracek', 'peixeiro');
insert into funcionario (id_funcionario, nome, tipo_funcionario) values (200, 'Brennen Tewes', 'caixa');
